defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,Year,Month,Month_Name,Quarter,Week,Day_of_Week,Severity_Rank,Cost_Range,Is_Critical,Cumulative_Cost_per_Product
1,15,Structural,2024-06-06,Component,Minor,Visual Inspection,245.47,2024,6,June,Q2,23,Thursday,1,$0-250,0,245.47
2,6,Functional,2024-04-26,Component,Minor,Visual Inspection,26.87,2024,4,April,Q2,17,Friday,1,$0-250,0,26.87
3,84,Structural,2024-02-15,Internal,Minor,Automated Testing,835.81,2024,2,February,Q1,7,Thursday,1,$751-1000,0,835.81
4,10,Functional,2024-03-28,Internal,Critical,Automated Testing,444.47,2024,3,March,Q1,13,Thursday,3,$251-500,1,444.47
5,14,Cosmetic,2024-04-26,Component,Minor,Manual Testing,823.64,2024,4,April,Q2,17,Friday,1,$751-1000,0,823.64
6,17,Functional,2024-05-11,Internal,Moderate,Visual Inspection,788.11,2024,5,May,Q2,19,Saturday,2,$751-1000,0,788.11
7,85,Cosmetic,2024-05-23,Internal,Critical,Manual Testing,33.68,2024,5,May,Q2,21,Thursday,3,$0-250,1,33.68
8,90,Structural,2024-01-15,Internal,Moderate,Manual Testing,65.56,2024,1,January,Q1,3,Monday,2,$0-250,0,65.56
9,30,Structural,2024-01-26,Component,Critical,Manual Testing,848.61,2024,1,January,Q1,4,Friday,3,$751-1000,1,848.61
10,20,Structural,2024-06-05,Component,Critical,Visual Inspection,478.48,2024,6,June,Q2,23,Wednesday,3,$251-500,1,478.48
11,45,Structural,2024-04-28,Surface,Moderate,Automated Testing,217.96,2024,4,April,Q2,17,Sunday,2,$0-250,0,217.96
12,86,Structural,2024-02-25,Component,Minor,Manual Testing,485.02,2024,2,February,Q1,8,Sunday,1,$251-500,0,485.02
13,87,Cosmetic,2024-06-20,Component,Minor,Visual Inspection,714.63,2024,6,June,Q2,25,Thursday,1,$501-750,0,714.63
14,72,Cosmetic,2024-05-08,Surface,Critical,Manual Testing,603.94,2024,5,May,Q2,19,Wednesday,3,$501-750,1,603.94
15,74,Cosmetic,2024-05-03,Component,Critical,Manual Testing,189.55,2024,5,May,Q2,18,Friday,3,$0-250,1,189.55
16,10,Functional,2024-01-20,Component,Minor,Automated Testing,458.79,2024,1,January,Q1,3,Saturday,1,$251-500,0,903.26
17,53,Structural,2024-05-14,Internal,Minor,Visual Inspection,509.35,2024,5,May,Q2,20,Tuesday,1,$501-750,0,509.35
18,63,Cosmetic,2024-05-21,Component,Critical,Visual Inspection,538.99,2024,5,May,Q2,21,Tuesday,3,$501-750,1,538.99
19,28,Functional,2024-02-15,Internal,Critical,Manual Testing,34.93,2024,2,February,Q1,7,Thursday,3,$0-250,1,34.93
20,81,Structural,2024-05-25,Internal,Moderate,Manual Testing,557.11,2024,5,May,Q2,21,Saturday,2,$501-750,0,557.11
21,67,Functional,2024-05-03,Surface,Minor,Visual Inspection,831.43,2024,5,May,Q2,18,Friday,1,$751-1000,0,831.43
22,6,Structural,2024-03-06,Surface,Minor,Visual Inspection,504.9,2024,3,March,Q1,10,Wednesday,1,$501-750,0,531.77
23,33,Structural,2024-05-06,Surface,Moderate,Automated Testing,349.23,2024,5,May,Q2,19,Monday,2,$251-500,0,349.23
24,15,Structural,2024-02-23,Component,Critical,Visual Inspection,560.39,2024,2,February,Q1,8,Friday,3,$501-750,1,805.86
25,13,Cosmetic,2024-02-19,Surface,Moderate,Manual Testing,629.71,2024,2,February,Q1,8,Monday,2,$501-750,0,629.71
26,39,Structural,2024-06-15,Component,Moderate,Visual Inspection,975.44,2024,6,June,Q2,24,Saturday,2,$751-1000,0,975.44
27,60,Cosmetic,2024-05-08,Component,Moderate,Manual Testing,737.54,2024,5,May,Q2,19,Wednesday,2,$501-750,0,737.54
28,42,Structural,2024-01-02,Component,Critical,Manual Testing,592.87,2024,1,January,Q1,1,Tuesday,3,$501-750,1,592.87
29,3,Structural,2024-01-13,Component,Moderate,Automated Testing,99.82,2024,1,January,Q1,2,Saturday,2,$0-250,0,99.82
30,17,Functional,2024-01-22,Surface,Critical,Visual Inspection,106.34,2024,1,January,Q1,4,Monday,3,$0-250,1,894.45
31,30,Structural,2024-04-30,Surface,Critical,Automated Testing,352.58,2024,4,April,Q2,18,Tuesday,3,$251-500,1,1201.19
32,25,Structural,2024-03-29,Surface,Moderate,Visual Inspection,734.12,2024,3,March,Q1,13,Friday,2,$501-750,0,734.12
33,14,Cosmetic,2024-05-15,Internal,Minor,Visual Inspection,953.54,2024,5,May,Q2,20,Wednesday,1,$751-1000,0,1777.1799999999998
34,58,Structural,2024-06-19,Surface,Critical,Manual Testing,753.89,2024,6,June,Q2,25,Wednesday,3,$751-1000,1,753.89
35,48,Functional,2024-04-04,Component,Critical,Automated Testing,955.91,2024,4,April,Q2,14,Thursday,3,$751-1000,1,955.91
36,20,Structural,2024-06-04,Surface,Critical,Automated Testing,776.91,2024,6,June,Q2,23,Tuesday,3,$751-1000,1,1255.3899999999999
37,68,Cosmetic,2024-01-20,Internal,Critical,Manual Testing,607.96,2024,1,January,Q1,3,Saturday,3,$501-750,1,607.96
38,51,Functional,2024-06-08,Internal,Moderate,Automated Testing,107.7,2024,6,June,Q2,23,Saturday,2,$0-250,0,107.7
39,12,Functional,2024-06-25,Internal,Critical,Manual Testing,27.24,2024,6,June,Q2,26,Tuesday,3,$0-250,1,27.24
40,92,Cosmetic,2024-01-06,Surface,Critical,Visual Inspection,370.83,2024,1,January,Q1,1,Saturday,3,$251-500,1,370.83
41,63,Functional,2024-03-11,Component,Minor,Manual Testing,526.08,2024,3,March,Q1,11,Monday,1,$501-750,0,1065.0700000000002
42,49,Functional,2024-05-18,Surface,Critical,Automated Testing,144.38,2024,5,May,Q2,20,Saturday,3,$0-250,1,144.38
43,72,Cosmetic,2024-03-23,Surface,Moderate,Visual Inspection,534.33,2024,3,March,Q1,12,Saturday,2,$501-750,0,1138.27
44,24,Structural,2024-05-18,Surface,Minor,Visual Inspection,456.8,2024,5,May,Q2,20,Saturday,1,$251-500,0,456.8
45,64,Functional,2024-05-27,Surface,Minor,Automated Testing,215.01,2024,5,May,Q2,22,Monday,1,$0-250,0,215.01
46,36,Structural,2024-04-24,Surface,Moderate,Manual Testing,824.3,2024,4,April,Q2,17,Wednesday,2,$751-1000,0,824.3
47,79,Structural,2024-02-14,Component,Critical,Manual Testing,769.28,2024,2,February,Q1,7,Wednesday,3,$751-1000,1,769.28
48,36,Structural,2024-01-03,Component,Moderate,Manual Testing,160.25,2024,1,January,Q1,1,Wednesday,2,$0-250,0,984.55
49,65,Functional,2024-02-24,Component,Minor,Automated Testing,386.17,2024,2,February,Q1,8,Saturday,1,$251-500,0,386.17
50,9,Functional,2024-01-06,Component,Moderate,Manual Testing,572.08,2024,1,January,Q1,1,Saturday,2,$501-750,0,572.08
51,10,Structural,2024-06-26,Internal,Minor,Visual Inspection,433.85,2024,6,June,Q2,26,Wednesday,1,$251-500,0,1337.1100000000001
52,7,Structural,2024-05-19,Surface,Minor,Manual Testing,338.1,2024,5,May,Q2,20,Sunday,1,$251-500,0,338.1
53,81,Functional,2024-01-03,Surface,Critical,Automated Testing,93.13,2024,1,January,Q1,1,Wednesday,3,$0-250,1,650.24
54,62,Cosmetic,2024-05-14,Component,Moderate,Visual Inspection,308.37,2024,5,May,Q2,20,Tuesday,2,$251-500,0,308.37
55,29,Structural,2024-03-23,Internal,Critical,Automated Testing,396.58,2024,3,March,Q1,12,Saturday,3,$251-500,1,396.58
56,73,Structural,2024-01-19,Surface,Minor,Automated Testing,957.6,2024,1,January,Q1,3,Friday,1,$751-1000,0,957.6
57,86,Structural,2024-03-06,Internal,Moderate,Automated Testing,205.19,2024,3,March,Q1,10,Wednesday,2,$0-250,0,690.21
58,5,Cosmetic,2024-05-25,Component,Critical,Manual Testing,300.27,2024,5,May,Q2,21,Saturday,3,$251-500,1,300.27
59,79,Structural,2024-03-10,Internal,Critical,Automated Testing,671.22,2024,3,March,Q1,10,Sunday,3,$501-750,1,1440.5
60,87,Functional,2024-02-18,Surface,Minor,Visual Inspection,395.1,2024,2,February,Q1,7,Sunday,1,$251-500,0,1109.73
61,60,Structural,2024-06-11,Component,Critical,Visual Inspection,675.89,2024,6,June,Q2,24,Tuesday,3,$501-750,1,1413.4299999999998
62,43,Cosmetic,2024-03-08,Component,Moderate,Visual Inspection,523.02,2024,3,March,Q1,10,Friday,2,$501-750,0,523.02
63,52,Structural,2024-01-02,Surface,Critical,Manual Testing,337.5,2024,1,January,Q1,1,Tuesday,3,$251-500,1,337.5
64,2,Cosmetic,2024-01-11,Surface,Minor,Automated Testing,830.89,2024,1,January,Q1,2,Thursday,1,$751-1000,0,830.89
65,22,Functional,2024-04-16,Component,Critical,Visual Inspection,84.97,2024,4,April,Q2,16,Tuesday,3,$0-250,1,84.97
66,31,Functional,2024-05-24,Internal,Minor,Visual Inspection,771.96,2024,5,May,Q2,21,Friday,1,$751-1000,0,771.96
67,87,Functional,2024-03-15,Internal,Minor,Automated Testing,46.43,2024,3,March,Q1,11,Friday,1,$0-250,0,1156.16
68,11,Cosmetic,2024-04-16,Internal,Minor,Automated Testing,31.91,2024,4,April,Q2,16,Tuesday,1,$0-250,0,31.91
69,33,Cosmetic,2024-05-19,Component,Moderate,Automated Testing,845.8,2024,5,May,Q2,20,Sunday,2,$751-1000,0,1195.03
70,17,Functional,2024-02-19,Component,Minor,Manual Testing,729.55,2024,2,February,Q1,8,Monday,1,$501-750,0,1624.0
71,71,Cosmetic,2024-03-05,Surface,Moderate,Automated Testing,187.03,2024,3,March,Q1,10,Tuesday,2,$0-250,0,187.03
72,35,Structural,2024-06-29,Component,Moderate,Automated Testing,470.35,2024,6,June,Q2,26,Saturday,2,$251-500,0,470.35
73,15,Functional,2024-05-20,Internal,Minor,Visual Inspection,662.35,2024,5,May,Q2,21,Monday,1,$501-750,0,1468.21
74,43,Functional,2024-04-04,Component,Critical,Visual Inspection,509.97,2024,4,April,Q2,14,Thursday,3,$501-750,1,1032.99
75,2,Functional,2024-01-03,Component,Critical,Manual Testing,352.33,2024,1,January,Q1,1,Wednesday,3,$251-500,1,1183.22
76,36,Functional,2024-03-27,Surface,Minor,Manual Testing,228.22,2024,3,March,Q1,13,Wednesday,1,$0-250,0,1212.77
77,64,Functional,2024-02-06,Component,Critical,Manual Testing,632.45,2024,2,February,Q1,6,Tuesday,3,$501-750,1,847.46
78,28,Functional,2024-06-20,Component,Critical,Automated Testing,975.87,2024,6,June,Q2,25,Thursday,3,$751-1000,1,1010.8
79,69,Structural,2024-03-23,Internal,Moderate,Visual Inspection,967.14,2024,3,March,Q1,12,Saturday,2,$751-1000,0,967.14
80,75,Structural,2024-01-11,Surface,Moderate,Automated Testing,992.69,2024,1,January,Q1,2,Thursday,2,$751-1000,0,992.69
81,69,Functional,2024-03-14,Surface,Minor,Manual Testing,827.74,2024,3,March,Q1,11,Thursday,1,$751-1000,0,1794.88
82,74,Structural,2024-04-02,Component,Critical,Automated Testing,270.97,2024,4,April,Q2,14,Tuesday,3,$251-500,1,460.52000000000004
83,69,Structural,2024-04-11,Surface,Critical,Visual Inspection,712.98,2024,4,April,Q2,15,Thursday,3,$501-750,1,2507.86
84,11,Structural,2024-06-24,Component,Critical,Manual Testing,556.05,2024,6,June,Q2,26,Monday,3,$501-750,1,587.9599999999999
85,92,Structural,2024-04-27,Component,Minor,Manual Testing,200.11,2024,4,April,Q2,17,Saturday,1,$0-250,0,570.94
86,70,Structural,2024-01-14,Component,Moderate,Automated Testing,660.05,2024,1,January,Q1,2,Sunday,2,$501-750,0,660.05
87,22,Structural,2024-01-21,Component,Moderate,Manual Testing,220.96,2024,1,January,Q1,3,Sunday,2,$0-250,0,305.93
88,9,Functional,2024-02-09,Component,Critical,Visual Inspection,776.54,2024,2,February,Q1,6,Friday,3,$751-1000,1,1348.62
89,6,Functional,2024-05-01,Surface,Moderate,Visual Inspection,920.26,2024,5,May,Q2,18,Wednesday,2,$751-1000,0,1452.03
90,58,Structural,2024-02-17,Internal,Moderate,Visual Inspection,492.22,2024,2,February,Q1,7,Saturday,2,$251-500,0,1246.1100000000001
91,98,Cosmetic,2024-03-07,Surface,Critical,Manual Testing,513.45,2024,3,March,Q1,10,Thursday,3,$501-750,1,513.45
92,93,Functional,2024-06-30,Component,Moderate,Automated Testing,286.28,2024,6,June,Q2,26,Sunday,2,$251-500,0,286.28
93,10,Functional,2024-04-01,Surface,Minor,Automated Testing,698.89,2024,4,April,Q2,14,Monday,1,$501-750,0,2036.0
94,72,Cosmetic,2024-02-02,Internal,Critical,Visual Inspection,555.25,2024,2,February,Q1,5,Friday,3,$501-750,1,1693.52
95,36,Cosmetic,2024-05-16,Component,Moderate,Manual Testing,465.92,2024,5,May,Q2,20,Thursday,2,$251-500,0,1678.69
96,11,Structural,2024-03-08,Component,Critical,Manual Testing,732.13,2024,3,March,Q1,10,Friday,3,$501-750,1,1320.09
97,56,Structural,2024-03-15,Component,Moderate,Automated Testing,582.46,2024,3,March,Q1,11,Friday,2,$501-750,0,582.46
98,67,Cosmetic,2024-03-10,Component,Moderate,Visual Inspection,647.7,2024,3,March,Q1,10,Sunday,2,$501-750,0,1479.13
99,67,Structural,2024-04-08,Component,Critical,Visual Inspection,536.57,2024,4,April,Q2,15,Monday,3,$501-750,1,2015.7
100,8,Functional,2024-04-24,Surface,Minor,Visual Inspection,673.85,2024,4,April,Q2,17,Wednesday,1,$501-750,0,673.85
101,27,Structural,2024-01-25,Internal,Minor,Manual Testing,871.1,2024,1,January,Q1,4,Thursday,1,$751-1000,0,871.1
102,79,Structural,2024-06-25,Internal,Critical,Visual Inspection,973.66,2024,6,June,Q2,26,Tuesday,3,$751-1000,1,2414.16
103,87,Functional,2024-05-31,Internal,Critical,Visual Inspection,787.42,2024,5,May,Q2,22,Friday,3,$751-1000,1,1943.58
104,1,Structural,2024-06-25,Surface,Minor,Manual Testing,338.48,2024,6,June,Q2,26,Tuesday,1,$251-500,0,338.48
105,49,Structural,2024-04-30,Component,Critical,Visual Inspection,922.07,2024,4,April,Q2,18,Tuesday,3,$751-1000,1,1066.45
106,9,Functional,2024-05-14,Surface,Moderate,Manual Testing,137.41,2024,5,May,Q2,20,Tuesday,2,$0-250,0,1486.03
107,63,Structural,2024-06-28,Surface,Critical,Automated Testing,17.89,2024,6,June,Q2,26,Friday,3,$0-250,1,1082.96
108,97,Cosmetic,2024-01-26,Surface,Moderate,Manual Testing,210.3,2024,1,January,Q1,4,Friday,2,$0-250,0,210.3
109,1,Cosmetic,2024-02-22,Component,Critical,Automated Testing,978.5,2024,2,February,Q1,8,Thursday,3,$751-1000,1,1316.98
110,44,Functional,2024-03-05,Surface,Minor,Visual Inspection,381.15,2024,3,March,Q1,10,Tuesday,1,$251-500,0,381.15
111,27,Structural,2024-05-06,Component,Moderate,Manual Testing,302.42,2024,5,May,Q2,19,Monday,2,$251-500,0,1173.52
112,9,Cosmetic,2024-01-12,Component,Minor,Automated Testing,813.46,2024,1,January,Q1,2,Friday,1,$751-1000,0,2299.49
113,67,Cosmetic,2024-04-08,Surface,Minor,Automated Testing,998.27,2024,4,April,Q2,15,Monday,1,$751-1000,0,3013.9700000000003
114,83,Functional,2024-01-25,Component,Critical,Manual Testing,498.47,2024,1,January,Q1,4,Thursday,3,$251-500,1,498.47
115,66,Functional,2024-04-30,Internal,Moderate,Visual Inspection,362.23,2024,4,April,Q2,18,Tuesday,2,$251-500,0,362.23
116,36,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,194.79,2024,1,January,Q1,2,Tuesday,3,$0-250,1,1873.48
117,64,Cosmetic,2024-01-11,Surface,Moderate,Visual Inspection,677.65,2024,1,January,Q1,2,Thursday,2,$501-750,0,1525.1100000000001
118,66,Structural,2024-04-10,Surface,Critical,Manual Testing,310.8,2024,4,April,Q2,15,Wednesday,3,$251-500,1,673.03
119,99,Structural,2024-03-05,Surface,Minor,Visual Inspection,717.21,2024,3,March,Q1,10,Tuesday,1,$501-750,0,717.21
120,80,Functional,2024-03-08,Component,Critical,Manual Testing,641.58,2024,3,March,Q1,10,Friday,3,$501-750,1,641.58
121,86,Structural,2024-06-09,Internal,Minor,Manual Testing,520.84,2024,6,June,Q2,23,Sunday,1,$501-750,0,1211.05
122,51,Structural,2024-04-16,Surface,Critical,Manual Testing,271.18,2024,4,April,Q2,16,Tuesday,3,$251-500,1,378.88
123,79,Cosmetic,2024-02-04,Internal,Minor,Manual Testing,657.81,2024,2,February,Q1,5,Sunday,1,$501-750,0,3071.97
124,100,Functional,2024-03-27,Internal,Moderate,Manual Testing,620.66,2024,3,March,Q1,13,Wednesday,2,$501-750,0,620.66
125,86,Cosmetic,2024-03-10,Surface,Critical,Visual Inspection,533.03,2024,3,March,Q1,10,Sunday,3,$501-750,1,1744.08
126,29,Structural,2024-02-01,Surface,Minor,Visual Inspection,21.77,2024,2,February,Q1,5,Thursday,1,$0-250,0,418.34999999999997
127,68,Cosmetic,2024-05-19,Surface,Minor,Manual Testing,302.22,2024,5,May,Q2,20,Sunday,1,$251-500,0,910.1800000000001
128,92,Cosmetic,2024-03-02,Internal,Moderate,Automated Testing,895.38,2024,3,March,Q1,9,Saturday,2,$751-1000,0,1466.32
129,14,Cosmetic,2024-06-20,Surface,Critical,Visual Inspection,241.61,2024,6,June,Q2,25,Thursday,3,$0-250,1,2018.79
130,72,Cosmetic,2024-04-06,Internal,Critical,Automated Testing,878.46,2024,4,April,Q2,14,Saturday,3,$751-1000,1,2571.98
131,61,Functional,2024-05-15,Internal,Critical,Visual Inspection,268.08,2024,5,May,Q2,20,Wednesday,3,$251-500,1,268.08
132,63,Structural,2024-04-23,Surface,Critical,Visual Inspection,492.32,2024,4,April,Q2,17,Tuesday,3,$251-500,1,1575.28
133,86,Structural,2024-03-20,Surface,Moderate,Manual Testing,379.78,2024,3,March,Q1,12,Wednesday,2,$251-500,0,2123.8599999999997
134,98,Cosmetic,2024-02-03,Surface,Moderate,Visual Inspection,498.71,2024,2,February,Q1,5,Saturday,2,$251-500,0,1012.1600000000001
